Vehicle Type,Status,Vehicle Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,City,State,ZIP Code
Taxi,ACTIVE,TOYOTA,CAMRY,2014,YELLOW,Hybrid,N,CHICAGO,IL,60618
Taxi,FORECLOSURE,TOYOTA,CAMRY,2014,WHITE,Hybrid,N,CHICAGO,IL,60659
Taxi,ACTIVE,TOYOTA,CAMRY,2013,BLUE/WHITE,Hybrid,N,CHICAGO,IL,60641
Taxi,ACTIVE,TOYOTA,RAV4,2013,WHITE,Gasoline,N,CHICAGO,IL,60630
Taxi,ACTIVE,TOYOTA,CAMRY,2012,WHITE,Hybrid,N,CHICAGO,IL,60630
Taxi,ACTIVE,TOYOTA,CAMRY,2010,YELLOW,Hybrid,N,CHICAGO,IL,60618
Taxi,ACTIVE,CHEVROLET,HHR,2011,CREAM/BLUE,Flex Fuel,N,CHICAGO,IL,60618
Taxi,ACTIVE,FORD,ESCAPE,2012,MAROON/GOLD/STRIPES,Hybrid,N,CHICAGO,IL,60616
Livery,INACTIVE,TOYOTA,SIENNA,2016,WHITE,Gasoline,N,CHICAGO,IL,60634
Livery,INACTIVE,CHEVROLET,SUBURBAN,2013,BLACK,Gasoline,N,CHICAGO,IL,60630
Livery,ACTIVE,LINCOLN,NAVIGATOR,2016,BLACK,Gasoline,N,CHICAGO,IL,60630
Taxi,ACTIVE,TOYOTA,CAMRY,2013,BLUE/WHITE,Hybrid,N,CHICAGO,IL,60641
Livery,ACTIVE,CADILLAC,ESCALADE ESV,2017,BLACK,Gasoline,N,CHICAGO,IL,60631
Taxi,ACTIVE,FORD,ESCAPE,2012,MAROON/BLUE/STRIPES,Hybrid,N,CHICAGO,IL,60616
Livery,ACTIVE,CHEVROLET,SUBURBAN,2017,BLACK,Gasoline,N,CHICAGO,IL,60642
Taxi,ACTIVE,TOYOTA,CAMRY,2015,GRAY/WHITE,Hybrid,N,CHICAGO,IL,60626
Taxi,ACTIVE,TOYOTA,CAMRY,2011,WHITE,Hybrid,N,CHICAGO,IL,60612
Taxi,ACTIVE,FORD,ESCAPE,2012,MAROON/GOLD/STRIPES,Hybrid,N,CHICAGO,IL,60616
Charter Sightseeing,ACTIVE,FORD,F650,2007,WHITE,Gasoline,N,CHICAGO,IL,60618
Taxi,FORECLOSURE,TOYOTA,PRIUS,2013,BLUE,Hybrid,N,CHICAGO,IL,60640
Ambulance,RESERVED,FORD,E350,2010,WHITE,Gasoline,N,MOKENA,IL,60448
Livery,ACTIVE,LINCOLN,CONTINENTAL,2017,BLACK,Gasoline,N,CHICAGO,IL,60656
Charter Sightseeing,INACTIVE,FORD,TROLLEY,1997,RED/GREEN,Gasoline,N,CHICAGO,IL,60609
Taxi,ACTIVE,TOYOTA,CAMRY,2012,BLUE/WHITE,Hybrid,N,CHICAGO,IL,60641
Taxi,SURRENDER,TOYOTA,CAMRY,2012,BLUE/WHITE,Hybrid,N,CHICAGO,IL,60641
Charter Sightseeing,INACTIVE,NEOPLAN,TROLLEY,1989,RED/GREEN,Gasoline,N,CHICAGO,IL,60609
